view,period_type,period,source_tool,panel_id,index_scope,std_competency,domain,n,stacking_status,reliability_flags,panel_n_competencies,metric,value,n_distinct_scores,band_source
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,addition,numeracy,175.0,stack_with_caveat,crosswalk_caveat,9.0,z_within_panel,1.432214171249509,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,addition,numeracy,175.0,stack_with_caveat,crosswalk_caveat,9.0,percentile_within_panel,100.0,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,addition,numeracy,175.0,stack_with_caveat,crosswalk_caveat,9.0,rank_within_panel,1.0,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,number_recognition,numeracy,175.0,stack,,9.0,pct_students_cleared,61.71428571428571,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,number_recognition,numeracy,175.0,stack,,9.0,z_within_panel,-0.2780998390775758,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,number_recognition,numeracy,175.0,stack,,9.0,percentile_within_panel,55.55555555555556,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,number_recognition,numeracy,175.0,stack,,9.0,rank_within_panel,5.0,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,pattern,numeracy,175.0,stack_with_caveat,perfect_score_required;crosswalk_caveat,9.0,pct_students_cleared,53.714285714285715,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,pattern,numeracy,175.0,stack_with_caveat,perfect_score_required;crosswalk_caveat,9.0,z_within_panel,-0.8621095011404822,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,pattern,numeracy,175.0,stack_with_caveat,perfect_score_required;crosswalk_caveat,9.0,percentile_within_panel,22.22222222222222,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,pattern,numeracy,175.0,stack_with_caveat,perfect_score_required;crosswalk_caveat,9.0,rank_within_panel,8.0,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,place_value_bundles,numeracy,175.0,stack_with_caveat,crosswalk_caveat,9.0,pct_students_cleared,54.85714285714286,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,place_value_bundles,numeracy,175.0,stack_with_caveat,crosswalk_caveat,9.0,z_within_panel,-0.7786795494172095,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,place_value_bundles,numeracy,175.0,stack_with_caveat,crosswalk_caveat,9.0,percentile_within_panel,33.33333333333333,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,place_value_bundles,numeracy,175.0,stack_with_caveat,crosswalk_caveat,9.0,rank_within_panel,7.0,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,subtraction,numeracy,175.0,stack_with_caveat,crosswalk_caveat,9.0,pct_students_cleared,70.85714285714285,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,subtraction,numeracy,175.0,stack_with_caveat,crosswalk_caveat,9.0,z_within_panel,0.3893397747086032,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,subtraction,numeracy,175.0,stack_with_caveat,crosswalk_caveat,9.0,percentile_within_panel,66.66666666666666,,
small_multiples_index,quarter,Q1_2026,q1_2026_tool,Q1_2026|q1_2026_tool|all,all,subtraction,numeracy,175.0,stack_with_caveat,crosswalk_caveat,9.0,rank_within_panel,4.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|literacy,literacy,letter_recognition,literacy,81.0,stack_with_caveat,crosswalk_caveat,4.0,pct_students_cleared,81.48148148148148,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|literacy,literacy,letter_recognition,literacy,81.0,stack_with_caveat,crosswalk_caveat,4.0,z_within_panel,0.5022491946969668,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|literacy,literacy,letter_recognition,literacy,81.0,stack_with_caveat,crosswalk_caveat,4.0,percentile_within_panel,75.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|literacy,literacy,letter_recognition,literacy,81.0,stack_with_caveat,crosswalk_caveat,4.0,rank_within_panel,2.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|literacy,literacy,oral_language_dev,literacy,81.0,stack_with_caveat,ceiling;crosswalk_caveat,4.0,pct_students_cleared,100.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|literacy,literacy,oral_language_dev,literacy,81.0,stack_with_caveat,ceiling;crosswalk_caveat,4.0,z_within_panel,1.3747776545396881,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|literacy,literacy,oral_language_dev,literacy,81.0,stack_with_caveat,ceiling;crosswalk_caveat,4.0,percentile_within_panel,100.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|literacy,literacy,oral_language_dev,literacy,81.0,stack_with_caveat,ceiling;crosswalk_caveat,4.0,rank_within_panel,1.0,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|literacy,literacy,oral_reading_fluency,literacy,80.0,stack_with_caveat,crosswalk_caveat,4.0,pct_students_cleared,46.25,,
small_multiples_index,quarter,Q2_2025,aug_tool,Q2_2025|aug_tool|literacy,literacy,oral_reading_fluency,literacy,80.0,stack_with_caveat,crosswalk_caveat,4.0,z_within_panel,-1.1577362001538107,,
